Hrac: "Hari" uspesne pripojen.
Posilam pro: "Hari" zprava: 1|a|0| 

Prijato od: "Hari" 	zprava: 2|v|
Hrac: "afsasd" uspesne pripojen.
Posilam pro: "afsasd" zprava: 1|a|0| 

Prijato od: "afsasd" 	zprava: 2|b
Posilam pro: "afsasd" zprava: 2|b|1| 
Posilam pro: "afsasd" zprava: 3|a|1|1|afsasd|| 
Posilam pro: "Hari" zprava: 2|a|1|1|afsasd|| 

Prijato od: "Hari" 	zprava: 3|c|1
Posilam pro: "afsasd" zprava: 4|c|1|Hari| 
Posilam pro: "Hari" zprava: 3|c|1| 
Posilam pro: "afsasd" zprava: 5|i|1| 
Posilam pro: "Hari" zprava: 4|i|0| 
Posilam pro: "Hari" zprava: 5|a|0| 
Posilam pro: "afsasd" zprava: 6|a|0| 

Prijato od: "afsasd" 	zprava: 3|g|9|6
Posilam pro: "afsasd" zprava: 7|g|1|9|6| 
Posilam pro: "Hari" zprava: 6|l|9|6| 

Prijato od: "Hari" 	zprava: 4|g|11|11
Posilam pro: "Hari" zprava: 7|g|1|11|11| 
Posilam pro: "afsasd" zprava: 8|l|11|11| 

Prijato od: "afsasd" 	zprava: 4|g|14|10
Posilam pro: "afsasd" zprava: 9|g|1|14|10| 
Posilam pro: "Hari" zprava: 8|l|14|10| 

Prijato od: "Hari" 	zprava: 5|g|7|9
Posilam pro: "Hari" zprava: 9|g|1|7|9| 
Posilam pro: "afsasd" zprava: 10|l|7|9| 

Prijato od: "afsasd" 	zprava: 5|g|14|6
Posilam pro: "afsasd" zprava: 11|g|1|14|6| 
Posilam pro: "Hari" zprava: 10|l|14|6| 

Prijato od: "Hari" 	zprava: 6|g|8|8
Posilam pro: "Hari" zprava: 11|g|1|8|8| 
Posilam pro: "afsasd" zprava: 12|l|8|8| 

Prijato od: "afsasd" 	zprava: 6|g|13|3
Posilam pro: "afsasd" zprava: 13|g|1|13|3| 
Posilam pro: "Hari" zprava: 12|l|13|3| 

Prijato od: "afsasd" 	zprava: 7|e|
Posilam pro: "afsasd" zprava: 14|k|2|| 
Posilam pro: "Hari" zprava: 13|k|1|| 

Prijato od: "afsasd" 	zprava: 8|b
Posilam pro: "afsasd" zprava: 15|b|1| 
